Msg Timestamp,Message,Layer Id,Time,RuntimeGraph Name
9471295449,EXECUTE_TIME_SUBNET_0,-1,20,CPU,mymodel_float32
9471295449,TOTAL_INFERENCE_TIME,-1,32,us,mymodel_float32
9471295449,FORWARD_PROPAGATE,-1,28,us,mymodel_float32
9471295449,FORWARD_PROPAGATE_LAYER,0,5,CPU,mymodel_float32
9471295449,FORWARD_PROPAGATE_LAYER,1,2,CPU,mymodel_float32
9471295449,FORWARD_PROPAGATE_LAYER,2,4,CPU,mymodel_float32
9471295449,FORWARD_PROPAGATE_LAYER,3,1,CPU,mymodel_float32
9471295449,FORWARD_PROPAGATE_LAYER,4,1,CPU,mymodel_float32
9471295449,FORWARD_PROPAGATE_LAYER,5,2,CPU,mymodel_float32
9471295449,EXECUTE_TIME_SUBNET_0,-1,21,CPU,mymodel_float32
9471295449,TOTAL_INFERENCE_TIME,-1,30,us,mymodel_float32
9471295449,FORWARD_PROPAGATE,-1,28,us,mymodel_float32
9471295449,FORWARD_PROPAGATE_LAYER,0,5,CPU,mymodel_float32
9471295449,FORWARD_PROPAGATE_LAYER,1,2,CPU,mymodel_float32
9471295449,FORWARD_PROPAGATE_LAYER,2,4,CPU,mymodel_float32
9471295449,FORWARD_PROPAGATE_LAYER,3,1,CPU,mymodel_float32
9471295449,FORWARD_PROPAGATE_LAYER,4,2,CPU,mymodel_float32
9471295449,FORWARD_PROPAGATE_LAYER,5,2,CPU,mymodel_float32
9471295449,EXECUTE_TIME_SUBNET_0,-1,21,CPU,mymodel_float32
9471295449,TOTAL_INFERENCE_TIME,-1,34,us,mymodel_float32
9471295449,FORWARD_PROPAGATE,-1,30,us,mymodel_float32
9471295449,FORWARD_PROPAGATE_LAYER,0,5,CPU,mymodel_float32
9471295449,FORWARD_PROPAGATE_LAYER,1,2,CPU,mymodel_float32
9471295449,FORWARD_PROPAGATE_LAYER,2,4,CPU,mymodel_float32
9471295449,FORWARD_PROPAGATE_LAYER,3,2,CPU,mymodel_float32
9471295449,FORWARD_PROPAGATE_LAYER,4,2,CPU,mymodel_float32
9471295449,FORWARD_PROPAGATE_LAYER,5,1,CPU,mymodel_float32
9471295449,EXECUTE_TIME_SUBNET_0,-1,21,CPU,mymodel_float32
9471295449,TOTAL_INFERENCE_TIME,-1,33,us,mymodel_float32
9471295449,FORWARD_PROPAGATE,-1,29,us,mymodel_float32
9471295449,FORWARD_PROPAGATE_LAYER,0,5,CPU,mymodel_float32
9471295449,FORWARD_PROPAGATE_LAYER,1,2,CPU,mymodel_float32
9471295449,FORWARD_PROPAGATE_LAYER,2,4,CPU,mymodel_float32
9471295449,FORWARD_PROPAGATE_LAYER,3,2,CPU,mymodel_float32
9471295449,FORWARD_PROPAGATE_LAYER,4,2,CPU,mymodel_float32
9471295449,FORWARD_PROPAGATE_LAYER,5,1,CPU,mymodel_float32
9471295449,EXECUTE_TIME_SUBNET_0,-1,20,CPU,mymodel_float32
9471295449,TOTAL_INFERENCE_TIME,-1,31,us,mymodel_float32
9471295449,FORWARD_PROPAGATE,-1,27,us,mymodel_float32
9471295449,FORWARD_PROPAGATE_LAYER,0,4,CPU,mymodel_float32
9471295449,FORWARD_PROPAGATE_LAYER,1,2,CPU,mymodel_float32
9471295449,FORWARD_PROPAGATE_LAYER,2,4,CPU,mymodel_float32
9471295449,FORWARD_PROPAGATE_LAYER,3,2,CPU,mymodel_float32
9471295449,FORWARD_PROPAGATE_LAYER,4,2,CPU,mymodel_float32
9471295449,FORWARD_PROPAGATE_LAYER,5,2,CPU,mymodel_float32
9471295449,EXECUTE_TIME_SUBNET_0,-1,119,CPU,mymodel_float32
9471295449,TOTAL_INFERENCE_TIME,-1,130,us,mymodel_float32
9471295449,FORWARD_PROPAGATE,-1,126,us,mymodel_float32
9471295449,FORWARD_PROPAGATE_LAYER,0,104,CPU,mymodel_float32
9471295449,FORWARD_PROPAGATE_LAYER,1,2,CPU,mymodel_float32
9471295449,FORWARD_PROPAGATE_LAYER,2,3,CPU,mymodel_float32
9471295449,FORWARD_PROPAGATE_LAYER,3,1,CPU,mymodel_float32
9471295449,FORWARD_PROPAGATE_LAYER,4,2,CPU,mymodel_float32
9471295449,FORWARD_PROPAGATE_LAYER,5,2,CPU,mymodel_float32
9471295449,EXECUTE_TIME_SUBNET_0,-1,20,CPU,mymodel_float32
9471295449,TOTAL_INFERENCE_TIME,-1,30,us,mymodel_float32
9471295449,FORWARD_PROPAGATE,-1,27,us,mymodel_float32
9471295449,FORWARD_PROPAGATE_LAYER,0,4,CPU,mymodel_float32
9471295449,FORWARD_PROPAGATE_LAYER,1,2,CPU,mymodel_float32
9471295449,FORWARD_PROPAGATE_LAYER,2,4,CPU,mymodel_float32
9471295449,FORWARD_PROPAGATE_LAYER,3,2,CPU,mymodel_float32
9471295449,FORWARD_PROPAGATE_LAYER,4,2,CPU,mymodel_float32
9471295449,FORWARD_PROPAGATE_LAYER,5,1,CPU,mymodel_float32
9471295449,EXECUTE_TIME_SUBNET_0,-1,20,CPU,mymodel_float32
9471295449,TOTAL_INFERENCE_TIME,-1,32,us,mymodel_float32
9471295449,FORWARD_PROPAGATE,-1,28,us,mymodel_float32
9471295449,FORWARD_PROPAGATE_LAYER,0,5,CPU,mymodel_float32
9471295449,FORWARD_PROPAGATE_LAYER,1,2,CPU,mymodel_float32
9471295449,FORWARD_PROPAGATE_LAYER,2,4,CPU,mymodel_float32
9471295449,FORWARD_PROPAGATE_LAYER,3,2,CPU,mymodel_float32
9471295449,FORWARD_PROPAGATE_LAYER,4,2,CPU,mymodel_float32
9471295449,FORWARD_PROPAGATE_LAYER,5,1,CPU,mymodel_float32
9471295449,EXECUTE_TIME_SUBNET_0,-1,21,CPU,mymodel_float32
9471295449,TOTAL_INFERENCE_TIME,-1,34,us,mymodel_float32
9471295449,FORWARD_PROPAGATE,-1,29,us,mymodel_float32
9471295449,FORWARD_PROPAGATE_LAYER,0,5,CPU,mymodel_float32
9471295449,FORWARD_PROPAGATE_LAYER,1,3,CPU,mymodel_float32
9471295449,FORWARD_PROPAGATE_LAYER,2,4,CPU,mymodel_float32
9471295449,FORWARD_PROPAGATE_LAYER,3,1,CPU,mymodel_float32
9471295449,FORWARD_PROPAGATE_LAYER,4,2,CPU,mymodel_float32
9471295449,FORWARD_PROPAGATE_LAYER,5,2,CPU,mymodel_float32
9471295449,EXECUTE_TIME_SUBNET_0,-1,21,CPU,mymodel_float32
9471295449,TOTAL_INFERENCE_TIME,-1,33,us,mymodel_float32
9471295449,FORWARD_PROPAGATE,-1,29,us,mymodel_float32
9471295449,FORWARD_PROPAGATE_LAYER,0,5,CPU,mymodel_float32
9471295449,FORWARD_PROPAGATE_LAYER,1,2,CPU,mymodel_float32
9471295449,FORWARD_PROPAGATE_LAYER,2,4,CPU,mymodel_float32
9471295449,FORWARD_PROPAGATE_LAYER,3,2,CPU,mymodel_float32
9471295449,FORWARD_PROPAGATE_LAYER,4,2,CPU,mymodel_float32
9471295449,FORWARD_PROPAGATE_LAYER,5,1,CPU,mymodel_float32
9471295449,EXECUTE_TIME_SUBNET_0,-1,21,CPU,mymodel_float32
9471295449,TOTAL_INFERENCE_TIME,-1,32,us,mymodel_float32
9471295449,FORWARD_PROPAGATE,-1,29,us,mymodel_float32
9471295449,FORWARD_PROPAGATE_LAYER,0,5,CPU,mymodel_float32
9471295449,FORWARD_PROPAGATE_LAYER,1,2,CPU,mymodel_float32
9471295449,FORWARD_PROPAGATE_LAYER,2,4,CPU,mymodel_float32
9471295449,FORWARD_PROPAGATE_LAYER,3,1,CPU,mymodel_float32
9471295449,FORWARD_PROPAGATE_LAYER,4,2,CPU,mymodel_float32
9471295449,FORWARD_PROPAGATE_LAYER,5,1,CPU,mymodel_float32
9471295449,EXECUTE_TIME_SUBNET_0,-1,21,CPU,mymodel_float32
9471295449,TOTAL_INFERENCE_TIME,-1,31,us,mymodel_float32
9471295449,FORWARD_PROPAGATE,-1,29,us,mymodel_float32
9471295449,FORWARD_PROPAGATE_LAYER,0,4,CPU,mymodel_float32
9471295449,FORWARD_PROPAGATE_LAYER,1,2,CPU,mymodel_float32
9471295449,FORWARD_PROPAGATE_LAYER,2,4,CPU,mymodel_float32
9471295449,FORWARD_PROPAGATE_LAYER,3,2,CPU,mymodel_float32
9471295449,FORWARD_PROPAGATE_LAYER,4,2,CPU,mymodel_float32
9471295449,FORWARD_PROPAGATE_LAYER,5,1,CPU,mymodel_float32
9471295449,EXECUTE_TIME_SUBNET_0,-1,19,CPU,mymodel_float32
9471295449,TOTAL_INFERENCE_TIME,-1,31,us,mymodel_float32
9471295449,FORWARD_PROPAGATE,-1,27,us,mymodel_float32
9471295449,FORWARD_PROPAGATE_LAYER,0,5,CPU,mymodel_float32
9471295449,FORWARD_PROPAGATE_LAYER,1,2,CPU,mymodel_float32
9471295449,FORWARD_PROPAGATE_LAYER,2,4,CPU,mymodel_float32
9471295449,FORWARD_PROPAGATE_LAYER,3,1,CPU,mymodel_float32
9471295449,FORWARD_PROPAGATE_LAYER,4,2,CPU,mymodel_float32
9471295449,FORWARD_PROPAGATE_LAYER,5,1,CPU,mymodel_float32
9471295449,EXECUTE_TIME_SUBNET_0,-1,25,CPU,mymodel_float32
9471295449,TOTAL_INFERENCE_TIME,-1,38,us,mymodel_float32
9471295449,FORWARD_PROPAGATE,-1,34,us,mymodel_float32
9471295449,FORWARD_PROPAGATE_LAYER,0,5,CPU,mymodel_float32
9471295449,FORWARD_PROPAGATE_LAYER,1,2,CPU,mymodel_float32
9471295449,FORWARD_PROPAGATE_LAYER,2,4,CPU,mymodel_float32
9471295449,FORWARD_PROPAGATE_LAYER,3,2,CPU,mymodel_float32
9471295449,FORWARD_PROPAGATE_LAYER,4,2,CPU,mymodel_float32
9471295449,FORWARD_PROPAGATE_LAYER,5,1,CPU,mymodel_float32
